TRYON,1 ABBY DR,187900,2324
ROCKY POINT,1 CLARKS LANDING LOOP RD,355399,2345
ISABELA,1 CALLE AMBAR,284749,2158
MARBLEHEAD,1 CALTHROPE RD,231673,1386
HYDE PARK,1 HALE ST,241998,2640
HARRISBURG,1 HOUSE OF REPRESENTATIV,199439,3079
MELBOURNE,1 E AVENUE B,271810,2698
LONG ISLAND,1 MESSALONSKEE RD,436820,3008
ALBANY,1 FAIRWAY CT,338510,1607
EAST HAMPTON,1 N MAIN ST,208915,2732
MILLIS,1 WINDCREST LN,259440,3076
GALES FERRY,1 RIVERSIDE PL,470648,2452
SELMA,100 BROWN LN,407823,1646
MONCURE,1 OHENSE,183860,2187
MORRISVILLE,100 GREAT LAKE CIR,297401,1669
FIVE POINTS,100 KINGS RD,322862,2627
PRINSBURG,100 3RD ST,418657,1591
JACKSON,100 CAPITAL TOWERS,214202,1717
FRANKLIN,100 OLD MILL CREEK RD,369848,2429
SCRANTON,100 TERRACE LN APT 230,240774,1259
NOMA,1003 MAIN ST,233880,2401
DIXONS MILLS,101 BLUEBIRD LN,487606,2729
RICHARDSON,101 S COIT RD STE 36,239711,2822
HOUSTON,1001 MCKINNEY ST STE 2100,367184,3092
BIRMINGHAM,101 OAKS DR,105973,3081
TIFF CITY,102 STATE ROUTE 76,384576,2027
SOCORRO,10102B N LOOP DR,451189,2476
LAWTON,10341 61ST ST NE,115716,2495
SEATTLE,10211 65TH AVE S,444514,1698
CROOKSVILLE,10499 SYLVESTER PLETCH RD NW,156471,1909
TAMPA,10240 DOUGLAS OAKS CIR APT AF-101,293503,2597
TYLER,1045 E THORNTON ST,127214,1761
DALLAS,10660 WIREWAY DR STE 200,457596,1907
KANSAS CITY,10524 WENZEL AVE,315565,2337
HOBOKEN,106 PARK AVE APT 1,487293,2982
GARLAND,1073 W AVENUE E,339289,1806
SPRINGFIELD,11 ARMORY ST APT 4R,296553,2335
BROOKLYN,1077AX CLARKSON AVE STE 1,126861,2882
IRVINE,11 LAKE RD,251320,2670
MIAMI,1094 5TH AVE SE,414486,1986
HOUSTON,114 EASTWOOD ST APT 310,370144,2195
BOULDER,111 UNIVERSITY OF COLORADO,422706,2307
SEWELL,1 ABBINGTON LN,154285,2892
RAGLAND,1 CLARKS DR,180342,3194
DORADO,1 CALLE AMBAR,137998,1884
MANATI,1 CALLEJON ROSARIO,240713,2358
MILTONVALE,1 HAINGS ST,116147,2040
WATERBURY,1 HOTCHKISS ST,443662,3069
MELBOURNE,1 E AVENUE A,409345,1996
WANAQUE,1 MENTOL AVE,301186,2683
MORRIS PLAINS,1 FAIRHAVEN DR,215567,1402
GRANVILLE,1 N LANE 1,117808,2761
JAMAICA PLAIN,1 WINCHESTER TER,367369,1423
MASSIES MILL,1 RIVERSIDE LOOP RD,348386,1293
LINEVILLE,100 BROWN DR,438716,2014
MARION,1 OHAJUN DR,275981,2244
TOTOWA,100 GRANT AVE,461934,1693
FALKVILLE,100 KINGS RD,130191,1281
FENNVILLE,100 3RD ST,137108,1752
HIGHTSTOWN,100 CANTERBURY CT,115017,1575
PURLEAR,100 OLALEK RD,347347,1979
MURFREESBORO,100 TEFEOK CT,406610,2518
WHITE HALL,1003 HUTCHINSON ST N,423658,2451
DOUGLASSVILLE,1010 MONOCACY CREEK RD N,337237,2365
LA SALLE,101 S BROADWAY,109499,1392
REDWOOD CITY,1001 MARSHALL ST STE 400,229639,1825
AUTAUGAVILLE,101 OAKS DR,178898,1937
COOLIDGE,102 STATE ROAD 50,137187,2932
HUNTSVILLE,10102 CAHABA DR SW,292119,2628
GRAND RAPIDS,1034 UNION AVE NE,464955,1854
PHOENIX,10210 N 25TH AVE STE 1342 # 8020,148444,1905
MATHER,10499 SUPERFRTRESS AVE,439694,1251
HOBOKEN,1024 WILLOW AVE APT 5,339623,3050
BERNVILLE,1045 CHRISTMAS VILLAGE RD,126596,2584
DALLAS,10660 PLANO RD STE 122,180418,1408
BIRCH RUN,10524 S BEYER RD,451840,2839
PLEASANTVILLE,106 OAK RIDGE RD,297344,2492
CLEWISTON,1073 US 27,291260,1805
SPRINGFIELD,11 ARMORY ST APT 3R,208720,1342
FARWELL,10779 N GILMORE RD,454005,1791
ATCO,11 LAKE DR,166920,1618
JACKSONVILLE BEACH,1094 16TH AVE,343286,1929
HOUSTON,114 EASTWOOD ST APT 114,331092,2603
LONG BRANCH,111 UNION AVE # 9482 # 1543,192085,1316
HUNTSVILLE,01 957TH EXT RD PMB 10059,266046,1485
REIDSVILLE,1 1ST AVE S,254045,2272
HAWARDEN,1 AVENUE M,297976,1668
OSTERVILLE,1 BEACH PLUM HILL RD,324868,1388
MONTGOMERY,0 STATE OF ALABAMA,163624,2457
YAUCO,1 CALLE 6,414332,1920
RINCON,1 CALLE MOZAMBIQUE,393078,2531
CAMUY,1 CALLE SAN JUAN N,171808,1652
ANNVILLE,1 GARRISON RD RM 1,224619,2516
CHARLESTOWN,1 GRANTS CT,311425,2367
STRATFORD,1 HELEN PL,391566,2027
TEWKSBURY,1 HILLCREST RD,451558,2993
NORTH ATTLEBORO,1 BUCKTHORN LN,349074,2174
OXFORD,1 DEERFIELD RD,204305,1601
PASSAIC,1 MARKET ST # 2236 # 1566,175317,2182
HOLMDEL,1 MCHUPS DR,203377,2407
GROSSE POINTE,1 LAKESIDE CT,353431,2487
STATEN ISLAND,1 LINDBERGH AVE,155853,1457
CHARLESTOWN,1 PRESCOTT ST,451163,2604
GARFIELD,1 KARL PL APT 42,189007,1273
READING,1 THORNDIKE ST,232185,1216
PALM COAST,1 WHITE HALL DR,258830,1326
NATURAL BRIDGE,1 WAMITA LN,369509,2353
GLADE VALLEY,1 RICH HILL MOUNTAIN RD,215685,3171
DEL RIO,100 AVENUE J,193707,2836
FAIRVIEW,100 BERGEN BLVD APT C3,327466,3127
SANTA ISABEL,10 BDA MONSERRATE PMB 13281,192540,2095
BOSTON,10 CAUSEWAY ST RM 601,443760,2908
NORTHAMPTON,10 HENSHAW AVE,473869,1440
SAINT LOUIS,10 N TUCKER BLVD RM 1300,121780,1446
CORDOVA,100 HOLLEY RD,344455,1826
DAVISTON,100 JACKSONS LOOP,390548,1689
APALACHIN,10 SHADY HILL RD,482582,2932
FAIR LAWN,10-41 HENDERSON BLVD,249293,2869
MORRISVILLE,100 LAKE BRANDT RD,327121,2392
HORMIGUEROS,100 CALLE N,448531,2997
THOMASVILLE,100 N ANDREWS DR,341638,1737
JASPER,100 OAK BND,484570,1756
ATLANTIC CITY,100 S BERKLEY SQ PH 2N,438000,1701
HARRISBURG,100 SPRING ST APT B1,205274,1358
NORMAN,1000 ASP AVE RM 105,127365,2864
THOUSAND OAKS,1002 CALLE PINATA,116980,1799
FORT WORTH,100 CITATION ST,211764,3004
BIRMINGHAM,100 CROSS CREEK CT,161519,1628
CAVALIER,10076 143RD AVE NE,108804,1616
NEWTOWN,101 W WASHINGTON ST,234818,2466
HARVEST,101 DEER RUN LN,308458,1326
LINCOLN,101 PARKS AVE,451146,2155
LOUISVILLE,10001AG LINN STATION RD STE 105,471767,1702
SAN GERMAN,1001 CALLE 4,224783,2194
PRINCETON,101 HAMILTON HALL,438739,1566
SULLIGENT,101 MURRAYS RD,258194,2102
HOUSTON,10157 WESTVIEW DR APT 203,280675,1914
MONONI,102 KREGEL ST,391524,1793
GRIDLEY,102 BOULDER DR,343019,3184
LOUISA,102 HIGHWAY 1760,250382,2552
BURIEN,1031 N 129TH ST,429538,2037
GRAND RAPIDS,1033 HERMITAGE ST SE,490290,1406
HIALEAH,1035 W 42ND PL,228101,1459
LOUISVILLE,10203 SUMMIT PARK PL APT 101,226935,1884
ROCKY MOUNT,1041 NOELL LN STE 102,235109,2509
CLIVE,10428 JUAN CALLE PMB 102959,490165,2918
ROCKWALL,1022 N COUNTRY LN,387119,2907
PHOENIX,1023 S 11TH AVE APT 274 # 930,234607,2495
LOUISVILLE,105 DAVENTRY LN STE 300,141749,2497
ELGIN,1044 FOREST DR,157772,3103
PALM COAST,104 RED MILL DR,432705,2280
BAY CITY,1065 COUNTY ROAD 230,260865,1767
GASTONIA,1050 BUCKINGHAM AVE,458731,1462
JOLIET,1051 ESSINGTON RD STE 100,332054,2209
BLUE BALL,1058 MAIN ST,149187,3113
MAYAGUEZ,106 CALLE RAMON FREYRE,172132,3094
PORTLAND,10461 SE COOK CT APT 157W,249798,1512
BOLTON,10488 GREEN SWAMP RD N,120027,2590
MANATI,107-1 BO SABANA SECA,214230,1935
FRESNO,1072 E EUGENIA AVE,114804,2447
HOUSTON,10804 FALLSTONE RD STE 200,108716,1224
LOOGOOTEE,107 JOHN ST,292907,2679
MAYAGUEZ,108 CALLE AMERICA,446280,2838
POULSBO,108 NE TORVAL CANYON RD,254720,3141
AVISTON,10900 DRIVE IN PLZ,286904,2262
MOUNT VERNON,1092 S MARKET ST,468517,1798
CENTRALIA,1099 N LINCOLN BLVD,128460,1847
BERLIN,1139 PAINE TPKE S,332988,3136
DEXTER,1204 E OAK ST,281771,1525
HOBOKEN,111 RIVER ST STE 3 # 1659,288940,2355
BAYVILLE,118 CREEK RD,147478,2506
HOT SPRINGS,1206 MALVERN AVE,309683,2186
SAVANNAH,1 ABBIE WAY,423494,2349
EAST HAMPTON,1 CLARKHURST RD,175175,1388
LAJAS,1 CALLE AMATISTA,476674,1650
CABO ROJO,1 CALLEJON MATADERO,387064,3127
MAPLETON,1 HAIARG RD,194949,1600
COLUMBIA,1 HOSPITAL DR,381226,1406
WASHINGTON,1 DUPONT CIR NW STE 650,107484,1379
SUSSEX,1 MEMBUR RD,129257,2172
MAYNARD,1 FAIRFIELD ST,348440,3189
OKLAHOMA CITY,1 N HUDSON AVE STE 850,413997,2585
CHESTERFIELD,1 WINCHESTER RD,227155,1935
PERRYVILLE,1 RIVERSIDE LN,364091,2745
GALLION,100 BROWN DR,312027,1465
KEARNY,10 E MIDLAND AVE # 7161 # 1548,239885,2498
HUNTSVILLE,10 SAPSIDE INN LIGHTHOUSE LANE PMB 10007,414103,2948
ETHELSVILLE,100 KINGS RD,156781,2388
RICHFIELD,100 3RD PARK DR,279278,1860
LIBERTY,100 CANEY FORK CREEK RD,375321,1980
PLEASANT HILL,100 OLACHE TRL,321936,2012
WEST CREEK,100 TANGLEWOOD DR,241342,2785
HAMMONTON,1003 FOREST DR,342355,1312
SAINT LOUIS,1010 MARKET ST STE 1750,458113,2449
GREENVILLE,101 S AVENUE A,158514,3137
PHILADELPHIA,1001 MARKET ST STE 51,144227,2735
HOUSTON,101 OAKLEAF CIR,485144,2992
